Wind Direction,Wind Gust Noon,Screen Relative Humidity Noon,Precipitation Probability Day,Wind Speed,Visibility,Day Maximum Temperature,Feels Like Day Maximum Temperature,Weather Type,Max UV Index,Wind Gust Midnight,Screen Relative Humidity Midnight,Precipitation Probability Night,Night Minimum Temperature,Feels Like Night Minimum Temperature,daynight,datetime
WSW,22.0,62.0,98.0,13,VG,19.0,16.0,15,5.0,,,,,,Day,2023-07-30
SW,,,,13,VG,,,15,,25.0,93.0,94.0,16.0,14.0,Night,2023-07-30
WSW,22.0,76.0,52.0,11,VG,19.0,15.0,7,4.0,,,,,,Day,2023-07-31
WSW,,,,9,VG,,,7,,18.0,89.0,35.0,14.0,13.0,Night,2023-07-31
W,20.0,62.0,37.0,11,VG,20.0,17.0,7,6.0,,,,,,Day,2023-08-01
S,,,,7,GO,,,9,,11.0,88.0,62.0,13.0,12.0,Night,2023-08-01
SSE,20.0,81.0,69.0,9,GO,19.0,17.0,14,5.0,,,,,,Day,2023-08-02
NW,,,,9,GO,,,7,,20.0,91.0,21.0,13.0,12.0,Night,2023-08-02
NW,29.0,67.0,35.0,13,VG,19.0,16.0,7,6.0,,,,,,Day,2023-08-03
WNW,,,,9,VG,,,8,,20.0,88.0,10.0,13.0,12.0,Night,2023-08-03
