timestamp, timestamp
Wind Direction, Wind Direction
Wind Gust Noon, Wind Gust
Screen Relative Humidity Noon, Humidity
Precipitation Probability Day, Rain
Wind Speed, Wind Speed
Visibility, Visibility
Day Maximum Temperature, Max Temp
Feels Like Day Maximum Temperature, Feel Max Temp
Weather Type, Weather Type
Max UV Index, Max UV
Wind Gust Midnight, Wind Gust
Wind Direction, Wind Direction
Wind Gust Midnight, Wind Gust
Screen Relative Humidity Midnight, Humidity
Precipitation Probability Night, Rain
Wind Speed, Wind Speed
Visibility, Visibility
Night Minimum Temperature, Min Temp
Feels Like Night Minimum Temperature, Feels Min Temp
Weather Type, Weather Type
