Wind Direction,Feels Like Temperature,Wind Gust,Screen Relative Humidity,Precipitation Probability,Wind Speed,Temperature,Visibility,Weather Type,Max UV Index,daynight,datetime
WSW,15,22,62,54,13,18,VG,7,5,,2023-07-30 12:00:00
WSW,15,18,81,85,9,16,MO,15,2,,2023-07-30 15:00:00
SW,15,20,90,98,9,16,MO,15,1,,2023-07-30 18:00:00
SSW,14,25,93,96,11,16,MO,15,0,,2023-07-30 21:00:00
SW,15,25,93,82,13,16,VG,12,0,,2023-07-31 00:00:00
SW,15,22,92,47,11,17,VG,12,0,,2023-07-31 03:00:00
WSW,15,20,91,48,9,16,GO,12,1,,2023-07-31 06:00:00
WSW,15,22,82,14,11,17,VG,7,2,,2023-07-31 09:00:00
WSW,15,22,76,52,11,17,VG,12,4,,2023-07-31 12:00:00
W,15,25,70,40,13,18,VG,7,3,,2023-07-31 15:00:00
W,15,22,75,7,11,17,VG,7,1,,2023-07-31 18:00:00
WSW,14,20,83,11,9,15,VG,7,0,,2023-07-31 21:00:00
WSW,13,18,89,9,9,15,VG,2,0,,2023-08-01 00:00:00
WSW,13,18,91,35,9,14,GO,7,0,,2023-08-01 03:00:00
W,13,18,90,3,9,14,VG,3,1,,2023-08-01 06:00:00
WNW,15,20,73,37,9,16,VG,3,4,,2023-08-01 09:00:00
W,16,20,62,12,11,18,VG,7,6,,2023-08-01 12:00:00
W,17,20,58,9,11,19,VG,7,4,,2023-08-01 15:00:00
W,17,16,64,6,7,18,VG,7,1,,2023-08-01 18:00:00
SW,14,7,83,5,4,15,VG,7,0,,2023-08-01 21:00:00
S,13,11,88,36,7,14,GO,9,0,,2023-08-02 00:00:00
SE,12,18,93,62,9,14,MO,13,0,,2023-08-02 03:00:00
SE,13,20,95,69,9,14,MO,14,1,,2023-08-02 06:00:00
SE,14,22,90,49,11,16,MO,10,3,,2023-08-02 09:00:00
SSE,17,20,81,63,9,18,GO,14,5,,2023-08-02 12:00:00
WNW,17,20,76,64,9,18,GO,14,3,,2023-08-02 15:00:00
NNW,15,22,81,62,11,17,GO,14,1,,2023-08-02 18:00:00
NW,13,20,88,21,9,15,GO,7,0,,2023-08-02 21:00:00
NW,13,20,91,16,9,14,GO,7,0,,2023-08-03 00:00:00
NW,12,20,90,16,11,14,GO,7,0,,2023-08-03 03:00:00
NW,12,20,89,9,9,14,GO,7,1,,2023-08-03 06:00:00
NNW,14,25,77,10,11,16,VG,3,4,,2023-08-03 09:00:00
NW,15,29,67,13,13,18,VG,7,6,,2023-08-03 12:00:00
NW,16,29,66,35,13,18,VG,10,4,,2023-08-03 15:00:00
NW,15,27,71,13,13,17,VG,7,1,,2023-08-03 18:00:00
WNW,13,20,83,4,11,14,VG,7,0,,2023-08-03 21:00:00
